"Kod";"Nazwa";"sektor prywatny - spółki handlowe;2003;[-]";"sektor prywatny - spółki handlowe;2004;[-]";"sektor prywatny - spółki handlowe;2005;[-]";"sektor prywatny - spółki handlowe;2006;[-]";"sektor prywatny - spółki handlowe;2007;[-]";"sektor prywatny - spółki handlowe;2008;[-]";"sektor prywatny - spółki handlowe;2009;[-]";"sektor prywatny - spółki handlowe;2010;[-]";"sektor prywatny - spółki handlowe;2011;[-]";"sektor prywatny - spółki handlowe;2012;[-]";"sektor prywatny - spółki handlowe;2013;[-]";"sektor prywatny - spółki handlowe;2014;[-]";"sektor prywatny - spółki handlowe;2015;[-]";"sektor prywatny - spółki handlowe;2016;[-]";"sektor prywatny - spółki handlowe;2017;[-]";"sektor prywatny - spółki handlowe;2018;[-]";
2463000;"Powiat m.Chorzów";38;35;34;31;47;31;38;69;48;115;71;91;22;5;6;6;
2464000;"Powiat m.Częstochowa";90;85;78;75;91;101;108;126;156;209;196;227;37;10;10;13;
2465000;"Powiat m.Dąbrowa Górnicza";33;31;26;25;37;39;51;56;67;84;115;102;13;15;6;6;
2466000;"Powiat m.Gliwice";91;78;96;74;106;101;145;149;149;155;204;222;39;16;12;8;
2467000;"Powiat m.Jastrzębie-Zdrój";12;9;14;9;9;8;8;15;18;15;16;22;3;1;1;0;
2468000;"Powiat m.Jaworzno";8;11;9;12;22;20;15;70;60;43;52;51;11;1;3;0;
2469000;"Powiat m.Katowice";243;244;270;304;350;379;386;550;541;716;858;750;174;84;61;52;
2470000;"Powiat m.Mysłowice";21;21;17;28;31;19;28;27;29;45;53;58;9;4;4;6;
2471000;"Powiat m.Piekary Śląskie";7;12;9;6;8;15;9;19;13;28;35;48;7;4;2;4;
2472000;"Powiat m.Ruda Śląska";12;12;22;20;31;15;32;42;39;52;60;42;14;7;5;1;
2473000;"Powiat m.Rybnik";23;44;40;33;44;51;72;77;76;82;108;100;18;16;13;7;
2474000;"Powiat m.Siemianowice Śląskie";17;19;13;20;16;25;26;34;25;30;33;36;8;4;2;4;
2475000;"Powiat m.Sosnowiec";40;41;45;50;48;58;53;105;79;119;114;107;28;18;10;10;
2476000;"Powiat m.Świętochłowice";10;8;7;3;12;9;10;11;18;14;20;25;3;0;1;2;
2477000;"Powiat m.Tychy";44;42;58;59;58;50;66;73;84;91;123;119;29;10;13;7;
2478000;"Powiat m.Zabrze";32;27;41;40;34;36;39;41;59;92;70;71;19;11;4;11;
2479000;"Powiat m.Żory";14;17;10;13;13;14;18;19;26;23;21;44;3;5;4;2;
2601000;"Powiat buski";1;3;2;7;8;2;4;8;7;5;12;7;0;0;0;0;
2602000;"Powiat jędrzejowski";4;2;7;4;6;6;7;14;11;11;17;7;1;0;0;2;
2603000;"Powiat kazimierski";0;2;2;2;1;1;3;6;3;3;6;5;1;0;0;0;
2604000;"Powiat kielecki";9;23;11;12;12;15;16;19;31;29;71;49;4;3;2;1;
2605000;"Powiat konecki";13;8;5;10;3;8;4;5;8;10;15;18;5;0;0;0;
2606000;"Powiat opatowski";1;2;2;2;4;2;1;4;0;3;9;3;0;1;1;0;
2607000;"Powiat ostrowiecki";10;18;15;9;15;12;8;14;15;17;28;32;5;0;1;1;
2608000;"Powiat pińczowski";1;2;3;1;3;1;3;4;3;4;16;5;0;0;0;0;
2609000;"Powiat sandomierski";4;8;4;5;5;8;8;11;10;13;12;10;2;1;2;2;
2610000;"Powiat skarżyski";4;6;5;11;6;6;4;12;16;9;15;19;3;3;1;0;
2611000;"Powiat starachowicki";18;11;8;15;14;5;6;13;8;8;13;13;3;1;0;1;
2612000;"Powiat staszowski";16;4;2;4;2;2;4;4;5;7;10;13;3;0;1;2;
2613000;"Powiat włoszczowski";13;6;1;7;3;5;0;4;10;14;9;7;0;1;0;0;
2661000;"Powiat m.Kielce";81;85;75;71;140;113;95;142;160;194;228;186;57;13;9;14;
2801000;"Powiat bartoszycki";2;6;7;9;7;9;8;9;4;10;7;3;2;3;1;1;
2802000;"Powiat braniewski";8;7;4;7;5;2;3;7;10;12;10;9;2;1;1;0;
2803000;"Powiat działdowski";3;5;3;4;5;6;6;2;11;14;12;5;3;1;2;0;
2804000;"Powiat elbląski";9;5;8;8;4;5;13;14;20;13;11;10;0;0;1;1;
2805000;"Powiat ełcki";4;4;4;5;9;9;12;5;15;12;17;20;2;0;1;0;
2806000;"Powiat giżycki";4;5;4;11;3;5;6;4;13;17;15;10;1;0;1;1;
2807000;"Powiat iławski";9;11;6;11;12;9;16;22;14;12;16;14;1;1;0;0;
2808000;"Powiat kętrzyński";3;3;3;4;4;3;5;5;13;11;17;5;1;1;0;1;
2809000;"Powiat lidzbarski";9;5;1;3;2;0;6;11;8;16;9;9;1;1;2;2;
2810000;"Powiat mrągowski";1;7;13;12;14;8;11;8;12;12;15;11;1;0;3;1;
2811000;"Powiat nidzicki";4;6;3;3;5;5;3;6;5;6;8;6;0;2;2;2;
2812000;"Powiat nowomiejski";3;3;3;4;6;3;5;6;8;17;11;6;2;1;0;0;
2813000;"Powiat olecki";6;2;1;2;3;3;5;14;8;11;7;3;2;1;0;0;
2814000;"Powiat olsztyński";17;18;21;22;19;19;27;41;49;45;74;35;6;3;3;2;
2815000;"Powiat ostródzki";16;16;14;16;17;18;26;27;22;22;40;32;2;1;0;1;
2816000;"Powiat piski";2;2;3;0;1;3;4;4;1;8;4;3;0;0;0;0;
2817000;"Powiat szczycieński";5;6;7;5;8;10;7;9;8;9;7;11;0;4;1;1;
2818000;"Powiat gołdapski";2;4;1;2;4;2;0;2;5;4;5;1;0;0;0;0;
2819000;"Powiat węgorzewski";1;1;4;2;2;1;1;6;4;1;11;7;1;0;0;0;
2861000;"Powiat m.Elbląg";19;12;26;34;25;29;39;31;40;38;42;40;5;5;3;2;
2862000;"Powiat m.Olsztyn";76;64;73;82;85;88;110;132;135;167;224;187;24;20;20;18;
3001000;"Powiat chodzieski";6;5;3;6;9;7;5;9;9;22;15;11;1;0;0;1;
3002000;"Powiat czarnkowsko-trzcianecki";10;14;9;13;7;14;13;12;35;24;40;28;2;3;3;1;
3003000;"Powiat gnieźnieński";23;26;27;28;29;37;13;36;38;61;56;50;6;4;9;4;
3004000;"Powiat gostyński";6;10;9;12;15;24;13;15;20;22;10;21;4;1;0;3;
3005000;"Powiat grodziski";6;2;13;9;9;9;8;20;14;23;23;26;3;3;1;0;
3006000;"Powiat jarociński";6;14;8;12;8;12;9;14;20;23;15;25;1;0;1;2;
3007000;"Powiat kaliski";7;9;13;12;15;10;29;25;21;29;27;21;4;4;4;6;
3008000;"Powiat kępiński";8;8;4;6;9;3;8;15;14;19;13;21;2;2;0;0;
3009000;"Powiat kolski";6;8;5;7;6;6;5;15;13;14;15;8;0;0;0;0;
3010000;"Powiat koniński";4;6;7;9;5;15;18;32;29;34;44;23;2;0;1;1;
3011000;"Powiat kościański";16;15;14;16;21;21;21;22;30;24;31;28;5;2;1;2;
3012000;"Powiat krotoszyński";9;6;6;10;13;15;29;23;28;30;41;23;2;2;1;2;
3013000;"Powiat leszczyński";8;8;7;9;9;9;10;19;15;24;17;20;0;2;4;2;
3014000;"Powiat międzychodzki";4;5;8;6;10;7;16;9;9;12;17;16;0;1;0;1;
3015000;"Powiat nowotomyski";11;11;15;16;21;16;20;23;25;35;50;49;4;2;2;6;
3016000;"Powiat obornicki";14;11;14;8;19;10;14;24;30;26;36;41;3;1;1;3;
3017000;"Powiat ostrowski";23;28;32;25;37;27;46;54;51;80;84;66;18;8;10;6;
3018000;"Powiat ostrzeszowski";3;9;3;2;7;9;7;12;10;15;18;23;1;1;2;0;
3019000;"Powiat pilski";23;18;17;28;27;28;24;25;32;39;43;43;5;5;7;1;
3020000;"Powiat pleszewski";8;2;4;4;7;11;19;30;9;13;27;25;2;1;1;1;
3021000;"Powiat poznański";111;139;122;179;197;231;227;322;335;377;565;581;72;45;38;29;
3022000;"Powiat rawicki";9;7;6;11;15;4;13;26;16;29;26;20;2;0;0;1;
3023000;"Powiat słupecki";4;4;2;6;15;10;13;12;18;9;11;17;0;0;1;0;
3024000;"Powiat szamotulski";26;18;15;27;28;23;26;25;38;40;54;37;8;5;2;3;
3025000;"Powiat średzki";5;12;10;22;11;8;23;15;19;20;33;30;9;5;3;5;
3026000;"Powiat śremski";9;7;10;14;16;19;25;12;14;30;30;17;3;1;3;0;
3027000;"Powiat turecki";9;11;7;11;6;5;9;8;16;19;8;14;2;4;3;1;
3028000;"Powiat wągrowiecki";3;6;5;8;8;6;10;8;17;19;26;15;1;2;0;1;
3029000;"Powiat wolsztyński";12;19;11;8;9;11;15;11;29;23;31;14;1;1;3;0;
3030000;"Powiat wrzesiński";16;18;13;12;17;22;19;37;36;46;32;33;1;2;1;1;
3031000;"Powiat złotowski";6;10;13;10;8;14;2;13;11;7;13;5;4;3;0;1;
3061000;"Powiat m.Kalisz";30;21;25;29;31;42;30;64;62;102;94;96;18;11;12;9;
3062000;"Powiat m.Konin";25;20;23;32;25;43;43;36;33;67;52;56;10;6;4;3;
3063000;"Powiat m.Leszno";17;27;34;28;32;27;33;33;37;43;81;63;3;4;4;2;
3064000;"Powiat m.Poznań";473;519;530;621;799;792;963;1301;1455;1816;2332;2541;266;162;122;114;
3201000;"Powiat białogardzki";4;16;7;6;17;10;8;13;15;10;16;14;4;1;0;0;
3202000;"Powiat choszczeński";4;6;6;5;12;5;11;11;19;8;14;11;2;0;0;1;
3203000;"Powiat drawski";1;9;11;3;3;6;6;8;5;11;10;10;3;0;1;1;
3204000;"Powiat goleniowski";14;17;19;21;28;29;23;23;20;25;34;36;4;5;2;2;
3205000;"Powiat gryficki";9;8;9;13;9;12;16;17;13;14;20;11;1;4;0;1;
3206000;"Powiat gryfiński";17;15;28;18;16;11;14;19;15;35;20;25;4;3;3;2;
3207000;"Powiat kamieński";7;14;14;11;7;6;10;7;8;10;14;9;2;2;1;0;
3208000;"Powiat kołobrzeski";23;17;31;18;31;29;26;26;43;114;34;36;2;1;1;1;
3209000;"Powiat koszaliński";13;14;10;13;11;19;10;25;13;18;15;23;4;0;1;1;
3210000;"Powiat myśliborski";7;10;11;15;13;10;10;10;19;11;24;20;0;2;4;2;
3211000;"Powiat policki";9;18;14;16;22;38;36;36;41;68;71;44;8;7;3;1;
3212000;"Powiat pyrzycki";3;4;13;12;9;4;4;12;15;8;10;11;2;0;0;0;
3213000;"Powiat sławieński";15;10;10;7;7;9;11;14;19;24;20;18;1;0;2;1;
3214000;"Powiat stargardzki";18;25;23;18;29;28;32;28;36;40;42;43;4;3;8;1;
3215000;"Powiat szczecinecki";16;17;12;14;15;17;14;10;15;18;20;25;1;0;1;0;
3216000;"Powiat świdwiński";7;6;7;17;11;9;12;11;10;18;13;20;1;1;0;2;
3217000;"Powiat wałecki";8;4;8;3;9;4;5;2;9;15;25;6;2;0;0;0;
3218000;"Powiat łobeski";10;2;1;1;4;3;4;5;9;9;12;6;1;0;0;1;
3261000;"Powiat m.Koszalin";39;36;55;42;49;62;60;71;81;83;97;100;13;3;0;6;
3262000;"Powiat m.Szczecin";204;244;273;295;336;375;347;381;433;533;663;537;69;56;46;39;
3263000;"Powiat m.Świnoujście";10;7;16;8;10;18;11;11;12;15;11;18;4;2;1;1;
